Timestamp,Milliseconds,LightValue
2025-05-15 13:56:10,10645000,34
2025-05-15 13:56:15,10650000,26
2025-05-15 13:56:20,10655000,36
2025-05-15 13:56:25,10660000,26
2025-05-15 13:56:30,10665000,1023
2025-05-15 13:56:35,10670000,1023
2025-05-15 13:56:40,10675000,1023
2025-05-15 13:56:45,10680000,1023
2025-05-15 13:56:50,10685000,1023
2025-05-15 13:56:55,10690000,30
2025-05-15 13:57:00,10695000,1023
2025-05-15 13:57:05,10700000,1023
2025-05-15 13:57:10,10705000,1023
2025-05-15 13:57:15,10710000,33
2025-05-15 13:57:20,10715000,30
2025-05-15 13:57:25,10720000,32
2025-05-15 13:57:30,10725000,26
2025-05-15 13:57:35,10730000,33
2025-05-15 13:57:40,10735000,30
2025-05-15 13:57:45,10740000,32
2025-05-15 13:57:50,10745000,39
2025-05-15 13:57:55,10750000,36
2025-05-15 13:58:00,10755000,32
2025-05-15 13:58:05,10760000,35
2025-05-15 13:58:10,10765000,30
2025-05-15 13:58:15,10770000,36
2025-05-15 13:58:20,10775000,37
2025-05-15 13:58:25,10780000,35
2025-05-15 13:58:30,10785000,34
2025-05-15 13:58:35,10790000,31
2025-05-15 13:58:40,10795000,35
2025-05-15 13:58:45,10800000,33
2025-05-15 13:58:50,10805000,34
2025-05-15 13:58:55,10810000,36
2025-05-15 13:59:00,10815000,34
2025-05-15 13:59:05,10820000,35
2025-05-15 13:59:10,10825000,32
2025-05-15 13:59:15,10830000,36
2025-05-15 13:59:20,10835000,37
2025-05-15 13:59:25,10840000,29
2025-05-15 13:59:30,10845000,35
2025-05-15 13:59:35,10850000,37
2025-05-15 13:59:40,10855000,26
2025-05-15 13:59:45,10860000,32
2025-05-15 13:59:50,10865000,26
2025-05-15 13:59:55,10870000,35
2025-05-15 14:00:00,10875000,35
2025-05-15 14:00:05,10880000,36
2025-05-15 14:00:10,10885000,26
2025-05-15 14:00:15,10890000,32
2025-05-15 14:00:20,10895000,26
2025-05-15 14:00:25,10900000,34
2025-05-15 14:00:30,10905000,32
2025-05-15 14:00:35,10910000,34
2025-05-15 14:00:40,10915000,27
2025-05-15 14:00:45,10920000,34
2025-05-15 14:00:50,10925000,34
2025-05-15 14:00:55,10930000,27
2025-05-15 14:01:00,10935000,28
2025-05-15 14:01:05,10940000,32
2025-05-15 14:01:10,10945000,33
2025-05-15 14:01:15,10950000,35
2025-05-15 14:01:20,10955000,31
2025-05-15 14:01:25,10960000,30
2025-05-15 14:01:30,10965000,35
2025-05-15 14:01:35,10970000,32
2025-05-15 14:01:40,10975000,38
